"","glottocode","TLI0549","TLI0552","TLI0559","TLI0560","TLI0570","TLI0578","TLI0580","TLI0582","TLI0589","TLI0592","TLI0596","TLI0597","TLI0598","TLI0604","TLI0891","TLI0892","TLI0893","TLI1099","TLI1100","TLI1101","TLI1102","TLI1112","TLI1115","TLI1116"
"8","abip1241","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","FALSE","?","?","?","?","?"
"10","abkh1244","False","False","False","True","False","False","False","False","False","False","False","?","False","False","False","False","False","FALSE","FALSE","FALSE","FALSE","BarkAndSkin",NA,"M"
"12","abua1245","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?",NA,NA
"13","abui1241","?","False","?","False","False","False","?","True","False","True","True","True","?","False","False","False","?","?","?","TRUE","FALSE","TreeInBark","?","?"
"15","abun1252","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?",NA,"N"
"17","acat1239","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","TRUE","FALSE","TRUE","FALSE","?","?","?"
"19","acha1250","?","False","False","?","False","False","False","False","False","?","?","?","?","?","True","False","False","FALSE","FALSE","?","FALSE","?","N",NA
"23","achu1247","False","False","?","?","False","False","?","False","False","False","False","?","False","?","?","?","False","FALSE","FALSE","FALSE","FALSE","Neither",NA,"M"
"24","achu1248","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","FALSE","?","?","?","?","?"
"28","adan1251","?","False","?","False","False","False","?","False","False","False","False","True","?","False","False","False","False","?","?","?","FALSE","Neither","?","?"
"31","adny1235","?","False","False","?","False","False","False","?","False","?","?","?","?","?","True","False","False","?","?","?","FALSE","?",NA,"N"
"44","agua1253","False","False","?","?","False","False","?","False","False","False","False","?","False","?","?","?","False","FALSE","FALSE","FALSE","FALSE","Neither",NA,NA
"50","ahte1237","False","False","?","?","False","?","?","False","False","False","False","?","False","?","?","?","False","FALSE","FALSE","FALSE","FALSE","Neither",NA,"N"
"52","ainu1240","True","False","?","?","False","?","?","False","False","False","False","?","False","?","?","?","False","TRUE","FALSE","TRUE","FALSE","?",NA,NA
"76","alab1237","False","False","?","?","False","False","?","False","False","False","True","?","False","?","?","?","False","FALSE","FALSE","TRUE","FALSE","Neither",NA,NA
"81","alam1246","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","True","False","?","?","?","?","?","N","N"
"83","alba1267","False","False","False","False","False","False","True","False","False","False","False","?","False","False","False","False","?","FALSE","FALSE","FALSE","FALSE","Neither",NA,"T"
"86","aleu1260","False","False","False","False","False","False","False","False","False","False","False","?","False","True","False","False","False","FALSE","FALSE","FALSE","FALSE","BarkAndSkin",NA,"T"
"93","alse1251","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?",NA,"N"
"94","aluo1235","True","True","False","False","True","?","?","False","False","False","False","?","?","False","False","False","?","FALSE","FALSE","?","FALSE","?",NA,"N"
"96","alya1239","?","False","False","?","False","False","False","?","False","?","?","?","?","?","False","False",NA,"FALSE","TRUE","?","FALSE","?",NA,NA
"97","amai1246","False","False","False","False","?","False","?","?","?","?","?","?","?","False","False","False","?","?","?","?","FALSE","?",NA,"N"
"98","amap1240","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?",NA,"N"
"101","amar1274","False","False","?","?","False","False","?","False","False","False","False","?","False","?","?","?","False","FALSE","FALSE","TRUE","FALSE","Neither","N",NA
"105","amba1269","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?","?","M"
"116","anam1247","True","False","False","False","?","False","?","?","?","?","?","?","?","False","False","True","?","?","?","?","FALSE","?",NA,"N"
"117","anam1248","?","False","False","False","?","False","?","?","?","?","?","?","?","False","False","False","?","?","?","?","FALSE","?",NA,"N"
"128","anga1288","True","True","False","False","False","False","True","False","False","False","?","?","False","True","False","False","False","FALSE","FALSE","?","FALSE","Neither",NA,"N"
"129","anga1290","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?",NA,"?","?","FALSE","FALSE","?","?","?"
"138","anja1238","False","False","True","?","?","False","?","?","?","?","?","?","?","?","False","False","?","?","?","?","FALSE","?",NA,"N"
"146","anya1244","?","?","?","?","False","?","False","?","False","?","False","?","?","?","True","False","?","FALSE","?","?","FALSE","TreeInBark",NA,"?"
"149","aona1235","False","True","False","False","False","False","True","True","False","False","?","?","False","True","False","False","False","FALSE","FALSE","?","FALSE","Neither","N","N"
"151","apal1256","False","False","False","False","?","False","?","?","?","?","?","?","?","False","False","False","?","?","?","?","FALSE","?",NA,"N"
"154","apin1244","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?",NA,"?","FALSE","FALSE","TRUE","FALSE","?","?","?"
"156","apma1241","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?","N",NA
"159","arab1267","?","False","False","?","False","False","False","?","False","?","?","?","?","?","False","False",NA,"?","?","?","FALSE","?",NA,"?"
"160","arab1268","False","False","?","?","False","False","?","True","False","False","?","?","True","?","?","?","False","?","TRUE","TRUE","FALSE","TreeInBark",NA,NA
"164","aran1237","True","False","?","?","False","?","?","False","?","False","?","?","?","?","?","?","False","?","?","?","?","BarkAndSkin","?","?"
"165","arap1274","False","False","?","?","False","False","?","False","False","False","True","?","False","?","?","?","?","?","FALSE","TRUE","FALSE","Neither","N","N"
"166","araw1272","False","False","False","?","?","False","?","?","?","?","?","?","?","?","False","False","?","?","?","?","FALSE","?",NA,"N"
"171","arch1244","True","False","False","False","False","False","True","False","False","False","False","?","False","False","False","False","False","FALSE","FALSE","FALSE","FALSE","Neither",NA,NA
"177","arik1262","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","FALSE","?","?","?","?","?"
"186","asas1240","True","False","True","?","?","False","?","?","?","?","?","?","?","?","True","True","?","?","?","?","FALSE","?",NA,"N"
"198","asun1235","True","True","False","?","?","?","False","?","?","?","False","True","False","?","False","False","?","FALSE","FALSE","?","?","?","?","?"
"199","asut1235","?","?","False","False","False","?","?","False","False","False","False","?","?","False","?","?","?","?","?","?","?","Neither","M",NA
"201","atak1252","False","False","?","?","False","False","?","False","False","False","False","?","False","?","?","?","?","FALSE","TRUE","FALSE","FALSE","BarkAndSkin",NA,"N"
"205","atem1241","False","False","False","False","?","False","?","?","?","?","?","?","?","False","False","False","?","?","?","?","FALSE","?",NA,"?"
"210","atsu1245","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","FALSE","?","?","?","?","?"
"216","avar1256","False","False","False","?","False","False","False","False","False","False","False","?","False","False","False","False","False","FALSE","FALSE","FALSE","FALSE","Neither",NA,"T"
"234","awyi1241","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","True","?","?","?","?","?","?",NA,NA
"236","axiy1235","?","False","?","False","False","?","False","False","False","False","False","True","?","True","False","False","False","FALSE","FALSE","FALSE","FALSE","Neither",NA,"N"
"242","ayom1234","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","FALSE","?","?","?","?","?"
"243","ayor1240","True","True","?","?","False","False","?","False","True","False","False","?","False","?","?","?","False","?","FALSE","FALSE","FALSE","Neither",NA,NA
"246","azha1235","False","True","False","False","?","?","False","False","?","False","False","?","False","True","False","False","?","TRUE","?","FALSE","FALSE","Neither",NA,"N"
"249","baat1238","False","False","False","?","?","?","False","?","?","?","True","True","False","?","True","True","?","FALSE","FALSE","?","?","?","?","?"
"254","baca1246","False","False","?","?","?","False","?","True","False","False","False","False","?","?","True","False","?","?","?","?","FALSE","Neither","?","?"
"256","bade1248","False","False","?","?","?","False","?","True","False","False","False","True","?","?","False","?","?","?","?","?","?","Neither","?","?"
"270","bagi1246","?","?","?","?","?","?","?","?","?","?","?","?","?","?","True","False","?","?","?","?","?","?","M","?"
"272","bagu1252","False","False","False","False","?","False","?","?","?","?","?","?","?","False","False","False","?","?","?","?","FALSE","?",NA,"N"
"277","bahi1254","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","TRUE","FALSE","?",NA,NA
"280","baim1245","True","False","False","False","?","False","?","?","?","?","?","?","?","False","False","False","?","?","?","?","FALSE","?",NA,"N"
"303","bamb1262","False","False","?","?","False","False","?","True","False","False","False","?","False","?","?","?","False","?","FALSE","?","FALSE","Neither",NA,NA
"306","bamb1269","True","False","False","?","?","?","False","?","?","?","False","True","False","?","True","False","?","TRUE","FALSE","?","?","?","?","?"
"312","bana1292","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?",NA,NA
"313","bana1305","False","False","?","?","?","False","?","False","False","False","False","True","?","?","False","True","False","?","?","?","FALSE","Neither","?","?"
"321","bang1339","?","False","False","?","False","False","False","?","False","?","?","?","?","?","True","False",NA,"?","?","?","FALSE","?",NA,"N"
"324","bang1363","?","False","?","?","?","?","?","?","?","?","False","?","?","?","?","?","?","?","FALSE","?","FALSE","Neither","?","?"
"329","bank1259","?","False","?","?","?","?","?","?","?","?","False","?","?","?","?","?","?","?","FALSE","?","FALSE","Neither","?","?"
"337","bara1380","?","True","False","?","False","False","False","True","False","False","?","?","False","?","False",NA,NA,"FALSE","FALSE","?","FALSE","TreeInBark",NA,"M"
"342","barg1252","False","False","False","False","?","False","?","?","?","?","?","?","?","False","False","False","?","?","?","?","FALSE","?",NA,"N"
"344","bari1297","?","False","?","?","False","False","False","?","False","False","?","?","?","?","?","?","False","FALSE","FALSE","?","FALSE","Neither","N",NA
"349","basa1284","?","?","False","False","False","?","?","False","False","False","False","?","?","False","?","?","False","?","?","?","?","Neither","?",NA
"350","basq1248","False","False","?","?","?","False","?","False","False","False","False","?","False","?","?","?","False","FALSE","FALSE","?","FALSE","?","N","?"
"360","bata1314","False","False","?","?","?","False","?","False","False","False","False","False","?","?","True","True","?","?","?","FALSE","FALSE","Neither","?","?"
"367","bauu1244","True","False","False","False","?","False","?","?","?","?","?","?","?","False","False","False","?","?","?","?","FALSE","?",NA,NA
"368","bauw1240","?","?","?","?","?","?","?","?","?","?","?","?","?","?","True","False","?","?","?","?","?","?","?","?"
"369","bauz1241","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","TRUE","FALSE","?",NA,NA
"371","bayu1240","?","False","False","?","False","False","False","?","False","?","?","?","?","?","False","False",NA,"?","?","?","FALSE","?",NA,"N"
"372","beam1240","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?","N","T"
"381","bela1254","False","True","False","False","False","False","True","False","False","False","False","?","False","False","True","True","?","TRUE","FALSE","FALSE","FALSE","Neither",NA,"T"
"388","bemb1257","?","?","False","False","False","?","?","False","False","False","?","?","?","False","?","?","False","FALSE","FALSE","?","?","Neither","?","?"
"392","beng1280","False","False","False","False","False","False","True","False","False","False","False","?","False","False","True","True","False","FALSE","FALSE","FALSE","FALSE","Neither",NA,"T"
"395","bent1238","?","?","False","?","?","?","True","?","?","?","False","?","?","?","True","?","?","?","FALSE","?","FALSE","Neither","?","?"
"396","beot1247","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","TRUE","?","?","?","?","?"
"397","bepo1240","True","False","False","False","?","False","?","?","?","?","?","?","?","False","False","False","?","?","?","?","FALSE","?",NA,"N"
"402","beri1254","True","False","?","?","?","False","?","?","False","?","True","?","?","?","?","?","?","?","FALSE","TRUE","FALSE","?",NA,"M"
"411","bezh1248","False","False","?","?","False","False","?","False","False","False","False","?","False","?","?","?","?","?","FALSE","FALSE","FALSE","?",NA,"M"
"418","biao1254","?","?","?","False","True","False","False","?","False","?","False","False","?","True","False","False","?","?","FALSE","TRUE","FALSE","?",NA,"M"
"431","bila1257","False","False","False","False","?","False","?","?","?","?","?","?","?","False","False","False","?","?","?","?","FALSE","?",NA,"N"
"437","bilu1245","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","False","?","?","?","?","?",NA,"?"
"446","biri1256","?","False","False","?","False","False","False","?","False","?","?","?","?","?","False","False",NA,"?","?","?","FALSE","?","N","?"
"449","bisi1244","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","True","?","?","?","?","?","?",NA,"N"
"454","biwa1243","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?",NA,"T"
"455","biyo1244","True","False","?","False","?","False","?","?","?","?","?","?","?","False","False","False","?","?","?","?","FALSE","?",NA,"N"
"457","blag1240","?","False","?","False","False","False","?","False","False","False","False","True","?","True","False","False","?","?","?","TRUE","FALSE","Neither","?","?"
